City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,antsiranana,-12.2787,49.2917,28.24000000000001,61,68,7.77,MG,1689836838
228,waddan,29.1614,16.139,29.970000000000027,38,0,2.8,LY,1689837041
229,shibetsu,43.659,145.132,16.560000000000002,88,88,3.08,JP,1689837041
230,zubin potok,42.9144,20.6897,25.700000000000045,63,57,0.94,XK,1689837041
231,axim,4.8699,-2.2405,24.900000000000034,88,57,3.72,GH,1689837041
232,kongolo,-5.3833,27.0,29.590000000000032,31,42,2.43,CD,1689837042
233,crane,31.3974,-102.3501,30.110000000000014,26,85,8.33,US,1689837042
234,juneau,58.3019,-134.4197,14.560000000000002,98,75,2.57,US,1689837042
235,urazovo,50.0836,38.0395,21.970000000000027,52,4,3.07,RU,1689837043
236,dingcheng,32.1272,115.0394,29.310000000000002,76,100,2.11,CN,1689837043
237,umluj,25.0213,37.2685,34.920000000000016,35,0,4.35,SA,1689837043
238,panorama,40.5878,23.0315,32.660000000000025,52,0,3.09,GR,1689837043
239,shizunai-furukawacho,42.3339,142.3669,19.470000000000027,89,86,2.29,JP,1689837044
240,jiangyou,31.7667,104.7167,27.920000000000016,77,100,0.5,CN,1689837044
241,kupang,-10.1667,123.5833,27.870000000000005,64,63,5.86,ID,1689837044
242,extrema,-22.8547,-46.3183,13.450000000000045,92,83,2.32,BR,1689837044
243,carnarvon,-24.8667,113.6333,19.52000000000004,31,0,7.74,AU,1689837044
244,macapa,0.0389,-51.0664,25.99000000000001,94,0,4.63,BR,1689837045
245,warrnambool,-38.3833,142.4833,11.360000000000014,76,76,9.2,AU,1689837045
246,bam,29.106,58.357,39.30000000000001,9,32,5.88,IR,1689837045
247,tacherting,48.0833,12.5667,17.840000000000032,92,100,3.21,DE,1689836796
248,orange farm,-26.4833,27.8667,10.75,65,1,7.12,ZA,1689837046
249,gadzhiyevo,69.2551,33.3362,10.730000000000018,93,100,10.02,RU,1689837046
250,klyuchi,52.2667,79.1667,33.32000000000005,23,18,4.89,RU,1689837046
251,fort bragg,35.139,-79.006,25.75,95,100,1.54,US,1689836850
252,ancud,-41.8697,-73.8203,11.720000000000027,93,100,5.4,CL,1689837047
253,kayangel,8.0823,134.7173,28.870000000000005,79,91,10.67,PW,1689837047
254,kununurra,-15.7667,128.7333,29.99000000000001,25,93,4.12,AU,1689837047
255,zaozersk,69.4005,32.4476,10.140000000000043,96,100,9.45,RU,1689837048
256,tuxpan,19.55,-103.4,18.30000000000001,92,61,1.42,MX,1689837048
257,qaqortoq,60.7167,-46.0333,7.800000000000011,94,100,1.17,GL,1689837048
258,brisas de zicatela,15.8369,-97.0419,27.180000000000007,77,15,3.14,MX,1689837049
259,verkhnevilyuysk,63.4453,120.3167,23.670000000000016,57,61,1.8,RU,1689837049
260,ittre,50.644,4.2648,17.410000000000025,80,13,1.44,BE,1689837049
261,magadan,59.5667,150.8,25.850000000000023,74,95,3.51,RU,1689837049
262,galle,6.0367,80.217,27.939999999999998,82,94,6.91,LK,1689837000
263,lompoc,34.6391,-120.4579,14.180000000000007,95,100,2.57,US,1689837050
264,alliance,40.9153,-81.1059,19.78000000000003,87,100,2.43,US,1689837050
265,kavaratti,10.5669,72.642,28.25,81,95,8.73,IN,1689837050
266,atafu village,-8.5421,-172.5159,28.74000000000001,77,16,6.67,TK,1689837051
267,vorgashor,67.5833,63.95,24.99000000000001,53,38,4.21,RU,1689837051
268,hasaki,35.7333,140.8333,31.27000000000004,77,1,4.9,JP,1689837051
269,mazamari,-11.3258,-74.5308,19.980000000000018,93,64,0.51,PE,1689837051
270,novodvinsk,64.4165,40.8122,24.610000000000014,51,100,2.94,RU,1689837052
271,iskateley,67.6803,53.1512,20.03000000000003,61,100,7.98,RU,1689837052
272,trinity beach,-16.7888,145.6968,26.120000000000005,61,40,5.66,AU,1689837052
273,yanchep,-31.55,115.6833,17.010000000000048,63,95,4.57,AU,1689837052
274,maryborough,-25.5333,152.7,18.510000000000048,57,0,2.21,AU,1689837053
275,ola,59.5833,151.2833,26.189999999999998,82,99,3.78,RU,1689837053
276,essaouira,31.5125,-9.77,22.720000000000027,88,1,3.6,MA,1689837053
277,rikaze,29.25,88.8833,22.57000000000005,31,2,1.0,CN,1689837053
278,olyokminsk,60.3736,120.4264,17.980000000000018,66,97,1.91,RU,1689837054
279,stanley,54.868,-1.6985,14.330000000000041,88,40,4.12,GB,1689836837
280,solleftea,63.1667,17.2667,16.920000000000016,60,68,2.77,SE,1689837054
281,hami,42.8,93.45,38.879999999999995,8,0,1.56,CN,1689837054
282,ust'-ilimsk,58.0006,102.6619,28.100000000000023,24,11,2.2,RU,1689837055
283,chulym,55.0997,80.9572,18.110000000000014,93,100,0.82,RU,1689837055
284,codrington,-38.2667,141.9667,10.240000000000009,78,6,7.61,AU,1689837055
285,robbah,33.2797,6.9098,36.68000000000001,12,0,4.64,DZ,1689837055
286,mar del plata,-38.0023,-57.5575,7.830000000000041,84,96,3.58,AR,1689837056
287,international falls,48.6011,-93.411,17.100000000000023,88,40,3.6,US,1689837056
288,woodstock,43.1334,-80.7497,17.82000000000005,83,8,1.27,CA,1689837057
289,gotzis,47.3331,9.6331,21.400000000000034,73,75,2.24,AT,1689837057
290,thompson,55.7435,-97.8558,13.670000000000016,94,13,1.05,CA,1689837057
291,shimoda,34.6667,138.95,26.170000000000016,81,61,4.78,JP,1689837057
292,san antonio de pale,-1.4014,5.6325,23.670000000000016,81,88,4.55,GQ,1689837058
293,ryotsu-minato,38.0833,138.4333,23.420000000000016,83,62,2.7,JP,1689837058
294,remire-montjoly,4.9167,-52.2667,23.02000000000004,100,0,0.0,GF,1689837058
295,margate,51.3813,1.3862,17.610000000000014,87,91,0.89,GB,1689837059
296,marat,25.0701,45.4615,41.53000000000003,6,75,2.94,SA,1689837059
297,trinidad,-14.8333,-64.9,16.129999999999995,63,0,1.61,BO,1689837059
